disease	diseasecategory	women	men	nwomen	nmen	color	p_value	OR	p_adj	sex_bias	total_cases	diseasename
A15	Infectious and parasitic	612	912	3096908	2960950	#DD3232	1.06153727186297e-17	-0.443905198844377	2.27948112675623e-17	men	7.32909373624659	respiratory tuberculosis
A16	Infectious and parasitic	3121	4880	3096908	2960950	#DD3232	5.72590518141678e-105	-0.492519523593216	1.86982878745851e-104	men	8.98732181285012	NA
A17	Infectious and parasitic	42	70	3096908	2960950	#DD3232	0.00441165920752463	-0.555722113413631	0.00652627029383813	men	4.71849887129509	tuberculosis of nervous system
A19	Infectious and parasitic	63	146	3096908	2960950	#DD3232	1.02935068172392e-09	-0.88542238887585	1.8949683895128e-09	men	5.34233425196481	miliary tuberculosis
A20	Infectious and parasitic	31	56	3096908	2960950	#DD3232	0.00500376240727565	-0.636260033899918	0.00736067479350643	men	4.46590811865458	plague
A22	Infectious and parasitic	84	110	3096908	2960950	#DD3232	0.0311287381031135	-0.314562950298119	0.043245043048809	men	5.26785815906333	anthrax
A23	Infectious and parasitic	60	101	3096908	2960950	#DD3232	0.000489110973668246	-0.565677101235282	0.00076832402450481	men	5.08140436498446	brucellosis
A27	Infectious and parasitic	13	29	3096908	2960950	#DD3232	0.0125749555212621	-0.847249565655261	0.0180263934339404	men	3.73766961828337	leptospirosis
A28	Infectious and parasitic	259	112	3096908	2960950	#DD3232	2.94832595137331e-13	0.793426564499737	5.91167521969628e-13	women	5.91620206260743	other zoonotic bacterial diseases, not elsewhere classified
A34	Infectious and parasitic	19	0	3096908	2960950	#DD3232	4.14691651486715e-06	11	7.06411969091005e-06	women	2.94443897916644	obstetrical tetanus
A35	Infectious and parasitic	41	16	3096908	2960950	#DD3232	0.00203602400387049	0.896027653085947	0.00308738129295968	women	4.04305126783455	other tetanus
A37	Infectious and parasitic	2410	1646	3096908	2960950	#DD3232	3.05130633350294e-26	0.336603526914081	7.14695858472266e-26	women	8.30795254527102	whooping cough
A42	Infectious and parasitic	112	33	3096908	2960950	#DD3232	1.13387431391955e-10	1.17704066794221	2.13994984425585e-10	women	4.97673374242057	actinomycosis
A43	Infectious and parasitic	25	46	3096908	2960950	#DD3232	0.0086290075072337	-0.654659799801853	0.0125064989101159	men	4.26267987704132	nocardiosis
A44	Infectious and parasitic	371	41	3096908	2960950	#DD3232	1.12865298229874e-64	2.15783734906155	3.28373344572683e-64	women	6.02102334934953	bartonellosis
A48	Infectious and parasitic	134	279	3096908	2960950	#DD3232	2.54142098814898e-14	-0.778310933385394	5.1883224842367e-14	men	6.02344759296103	other bacterial diseases, not elsewhere classified
A51	Infectious and parasitic	193	787	3096908	2960950	#DD3232	1.22636317325712e-91	-1.4505564113871	3.85288549841659e-91	men	6.88755257166462	early syphilis
A52	Infectious and parasitic	776	1219	3096908	2960950	#DD3232	7.42102209092334e-28	-0.496681374237218	1.75913987516767e-27	men	7.59839932932396	late syphilis
A53	Infectious and parasitic	1584	4595	3096908	2960950	#DD3232	0	-1.11096702092515	0	men	8.72891172506098	other and unspecified syphilis
A54	Infectious and parasitic	1388	4500	3096908	2960950	#DD3232	0	-1.22225482639947	0	men	8.68067166040871	gonococcal infection
A55	Infectious and parasitic	5	95	3096908	2960950	#DD3232	9.13201696367989e-24	-2.98947451118076	2.09225541496829e-23	men	4.60517018598809	chlamydial lymphogranuloma (venereum)
A56	Infectious and parasitic	7139	2747	3096908	2960950	#DD3232	0	0.91147582831771	0	women	9.1988748938669	other sexually transmitted chlamydial diseases
A57	Infectious and parasitic	39	190	3096908	2960950	#DD3232	9.98262391625839e-27	-1.62835916350559	2.34517164838667e-26	men	5.43372200355424	chancroid
A59	Infectious and parasitic	7021	405	3096908	2960950	#DD3232	0	2.81013153710848	0	women	8.91274263473703	trichomoniasis
A60	Infectious and parasitic	13202	7392	3096908	2960950	#DD3232	8.48420972039023e-310	0.536843143855489	4.02233316261874e-309	women	9.9327550502167	anogenital herpesviral [herpes simplex] infections
A70	Infectious and parasitic	76	32	3096908	2960950	#DD3232	6.57820580016149e-05	0.820058680318027	0.000106633325741032	women	4.68213122712422	chlamydia psittaci infections
A74	Infectious and parasitic	1779	483	3096908	2960950	#DD3232	3.84409222454028e-161	1.25923756784783	1.45447143303519e-160	women	7.72400465667607	other diseases caused by chlamydiae
A78	Infectious and parasitic	116	186	3096908	2960950	#DD3232	1.10240911876222e-05	-0.517068342749422	1.84791475285594e-05	men	5.71042701737487	q fever
A79	Infectious and parasitic	162	109	3096908	2960950	#DD3232	0.0050948431964649	0.351366199852707	0.00748765937557026	women	5.6021188208797	other rickettsioses
A86	Infectious and parasitic	454	571	3096908	2960950	#DD3232	1.36501849665553e-05	-0.274228546794227	2.27599482387267e-05	men	6.93244789157251	unspecified viral encephalitis
A87	Infectious and parasitic	373	502	3096908	2960950	#DD3232	5.28380064491025e-07	-0.341959567575789	9.19989183085037e-07	men	6.77422388635761	viral meningitis
A88	Infectious and parasitic	930	519	3096908	2960950	#DD3232	1.30116613026735e-23	0.538506553222752	2.9724753106543e-23	women	7.27862894232068	oth viral infections of central nervous system, nec
A92	Infectious and parasitic	100	47	3096908	2960950	#DD3232	4.53020604465139e-05	0.710140329284472	7.38151585329325e-05	women	4.99043258677874	other mosquito-borne viral fevers
B00	Infectious and parasitic	71543	37224	3096908	2960950	#DD3232	0	0.619166228794854	0	women	11.596963258573	herpesviral [herpes simplex] infections
B02	Infectious and parasitic	113981	83336	3096908	2960950	#DD3232	0	0.277204495721547	0	women	12.1925668515021	zoster [herpes zoster]
B05	Infectious and parasitic	830	577	3096908	2960950	#DD3232	3.51427838956778e-09	0.3187592996991	6.40958770009233e-09	women	7.24921505711439	measles
B06	Infectious and parasitic	399	139	3096908	2960950	#DD3232	1.16712432531272e-27	1.00959221406051	2.75833887093428e-27	women	6.28785856016178	rubella [german measles]
B15	Infectious and parasitic	1695	2492	3096908	2960950	#DD3232	2.58518495172543e-43	-0.430584585732572	6.67062477707512e-43	men	8.33973976601914	acute hepatitis a
B16	Infectious and parasitic	5010	9349	3096908	2960950	#DD3232	0	-0.670263611845005	0	men	9.57213220229438	acute hepatitis b
B17	Infectious and parasitic	500	830	3096908	2960950	#DD3232	3.94244969233562e-23	-0.551822895922815	8.98034126734626e-23	men	7.1929342212158	other acute viral hepatitis
B18	Infectious and parasitic	13052	20138	3096908	2960950	#DD3232	0	-0.481154673977851	0	men	10.410003904714	chronic viral hepatitis
B19	Infectious and parasitic	3248	4232	3096908	2960950	#DD3232	1.45872749556218e-40	-0.309905662089222	3.70926830050869e-40	men	8.91998807096852	unspecified viral hepatitis
B20	Infectious and parasitic	329	1228	3096908	2960950	#DD3232	4.95632224902496e-131	-1.36218902359327	1.75309016178995e-130	men	7.350516171834	human immunodeficiency virus [hiv] disease
